order_id,date,transaction_amount,revenue_tier
1,2022-03-07,260,High
2,2022-08-23,300,High
3,2022-11-20,20,Low
4,2023-03-02,150,High
5,2022-02-10,200,High
6,2022-11-14,200,High
7,2022-03-05,225,High
8,2022-12-22,280,High
9,2022-10-06,20,Low
10,2022-09-16,100,Medium
11,2022-01-12,400,High
12,2022-12-07,160,High
13,2022-12-22,180,High
14,2022-11-25,200,High
15,2023-03-02,60,Medium
16,2022-04-14,660,High
17,2022-10-16,220,High
18,2022-05-11,200,High
19,2022-08-22,220,High
20,2022-09-15,400,High
21,2022-12-21,600,High
22,2022-04-10,300,High
23,2022-05-26,180,High
24,2023-11-02,250,High
25,2022-08-31,60,Medium
26,2022-08-18,100,Medium
27,2022-12-10,440,High
28,2023-06-01,400,High
29,2023-10-02,225,High
30,2023-01-28,100,Medium
31,2022-09-14,520,High
32,2022-06-05,80,Medium
33,2023-05-02,260,High
34,2023-04-02,600,High
35,2022-05-22,160,High
36,2022-02-07,400,High
37,2023-05-01,500,High
38,2023-08-03,240,High
39,2022-05-14,40,Low
40,2023-05-02,300,High
41,2022-11-13,440,High
42,2022-09-05,160,High
43,2022-05-26,20,Low
44,2022-08-28,480,High
45,2022-08-15,150,High
46,2022-07-05,140,High
47,2022-10-07,420,High
48,2023-02-23,840,High
49,2022-06-11,200,High
50,2022-02-11,160,High
51,2022-05-16,750,High
52,2023-03-16,300,High
53,2022-07-26,260,High
54,2022-12-28,280,High
55,2022-07-05,600,High
56,2022-11-23,220,High
57,2022-04-08,280,High
58,2023-03-02,120,High
59,2022-01-07,100,Medium
60,2022-11-06,80,Medium
61,2022-12-25,280,High
62,2022-10-17,75,Medium
63,2022-01-12,420,High
64,2022-09-12,40,Low
65,2022-07-25,80,Medium
66,2022-05-04,100,Medium
67,2022-05-15,180,High
68,2022-12-17,80,Medium
69,2023-10-01,140,High
70,2022-09-05,560,High
71,2022-05-12,240,High
72,2023-09-03,650,High
73,2022-07-29,100,Medium
74,2022-08-15,400,High
75,2023-02-02,240,High
76,2022-08-17,180,High
77,2023-04-02,300,High
78,2022-01-10,80,Medium
79,2022-05-11,120,High
80,2022-05-24,650,High
81,2022-11-19,600,High
82,2022-07-17,150,High
83,2022-11-13,550,High
84,2023-03-03,260,High
85,2022-08-19,60,Medium
86,2023-09-03,300,High
